"","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","UF","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DESC_SIT_TOT_TURNO","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","IDENTIFICADOR_LEGENDA","COLIGACAO","ID_LEGENDA","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_ABSOLUTA_PARA_ULTIMO_ELEITO_EM_VOTOS","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM","SHARE_CANDIDATO_LISTA","N_CADEIRAS_GANHAS_PARTIDO","N_CADEIRAS_GANHAS_COLIGACAO"
"1","0000729","2006","AC","AC","1555","06","FLAVIANO FLÁVIO BAPTISTA DE MELO","ELEITO","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,16951,0,27328,72919,81635,1,1,-509,0,509,NA,20.76,1,2
"2","0400360","2006","AC","AC","2323","06","ILDERLEI SOUZA RODRIGUES CORDEIRO","ELEITO","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,16442,0,30421,72919,81635,2,1,0,1,0,-509,20.14,1,2
"3","0000549","2006","AC","AC","1234","06","NARCISO MENDES DE ASSIS","SUPLENTE","12","PARTIDO DEMOCRÁTICO TRABALHISTA","PDT","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,14956,0,15170,72919,81635,3,1,1486,0,1486,-1486,18.32,0,2
"4","0000498","2006","AC","AC","1515","06","JOÃO CORREIA LIMA SOBRINHO","SUPLENTE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,6916,0,27328,72919,81635,4,2,9526,0,9526,-8040,8.47,1,2
"5","0000571","2006","AC","AC","2355","06","NORMANDO RODRIGUES SALES","SUPLENTE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,4608,0,30421,72919,81635,5,2,11834,0,11834,-2308,5.64,1,2
"6","0016095","2006","AC","AC","2322","06","BLANDINA MARIA DA SILVA E SILVA","SUPLENTE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,4298,0,30421,72919,81635,6,3,12144,0,12144,-310,5.26,1,2
"7","0391621","2006","AC","AC","2340","06","DEODATO NUNES DE FRANÇA","SUPLENTE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,2335,0,30421,72919,81635,7,4,14107,0,14107,-1963,2.86,1,2
"8","0400796","2006","AC","AC","1512","06","GILDOMAR OLIVEIRA GOMES","SUPLENTE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,1562,0,27328,72919,81635,8,3,14880,0,14880,-773,1.91,1,2
"9","0654188","2006","AC","AC","1511","06","LUCILA BRUNETTA","SUPLENTE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,1172,0,27328,72919,81635,9,4,15270,0,15270,-390,1.44,1,2
"10","0654187","2006","AC","AC","2360","06","FRANCISCO ROBERTO RODRIGUES MARTINS","SUPLENTE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,1059,0,30421,72919,81635,10,5,15383,0,15383,-113,1.3,1,2
"11","0000620","2006","AC","AC","2300","06","JOSÉ BRAZ ALVES PEDROZA","SUPLENTE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,953,0,30421,72919,81635,11,6,15489,0,15489,-106,1.17,1,2
"12","0015407","2006","AC","AC","1599","06","JOSÉ MARQUES LEITE NETO","SUPLENTE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,592,0,27328,72919,81635,12,5,15850,0,15850,-361,0.73,1,2
"13","0016293","2006","AC","AC","2369","06","FRANCISCO HAMILTON D ÁVILA LUCENA","SUPLENTE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,414,0,30421,72919,81635,13,7,16028,0,16028,-178,0.51,1,2
"14","0400476","2006","AC","AC","2345","06","CÉLIO TEIXEIRA DE SOUZA","SUPLENTE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,312,0,30421,72919,81635,14,8,16130,0,16130,-102,0.38,1,2
"15","0654287","2006","AC","AC","1212","06","CLÁUDIO GASTÃO KIPPER","SUPLENTE","12","PARTIDO DEMOCRÁTICO TRABALHISTA","PDT","COLIGAÇÃO","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","FRENTE CIDADÃ",1,"042",3,8716,214,0,15170,72919,81635,15,2,16228,0,16228,-98,0.26,0,2
