"","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","UF","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DESC_SIT_TOT_TURNO","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","IDENTIFICADOR_LEGENDA","COLIGACAO","ID_LEGENDA","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_ABSOLUTA_PARA_ULTIMO_ELEITO_EM_VOTOS","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM","SHARE_CANDIDATO_LISTA","N_CADEIRAS_GANHAS_PARTIDO","N_CADEIRAS_GANHAS_COLIGACAO"
"1","0015578","2018","AC","AC","6513","06","MARIA PERPETUA DE ALMEIDA ","ELEITO POR QP","65","PARTIDO COMUNISTA DO BRASIL","PC DO B","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,18374,0,18374,72127,77945,1,1,-3493,0,3493,NA,23.57,1,2
"2","0654236","2018","AC","AC","1331","06","LEONARDO CUNHA DE BRITO","ELEITO POR MÉDIA","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,14881,0,39098,72127,77945,2,1,0,1,0,-3493,19.09,1,2
"3","0016276","2018","AC","AC","1314","06","RAIMUNDO ANGELIM VASCONCELOS","SUPLENTE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,14123,0,39098,72127,77945,3,2,758,0,758,-758,18.12,1,2
"4","0000489","2018","AC","AC","4040","06","CARLOS CÉSAR CORREIA DE MESSIAS","SUPLENTE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,10769,0,10769,72127,77945,4,1,4112,0,4112,-3354,13.82,0,2
"5","0000581","2018","AC","AC","1313","06","SEBASTIÃO SIBA MACHADO OLIVEIRA","SUPLENTE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,9533,0,39098,72127,77945,5,3,5348,0,5348,-1236,12.23,1,2
"6","0879830","2018","AC","AC","3131","06","JEFFERSON BARROSO DE ARAÚJO ","SUPLENTE","31","PARTIDO HUMANISTA DA SOLIDARIEDADE","PHS","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,2406,0,3207,72127,77945,6,1,12475,0,12475,-7127,3.09,0,2
"7","1167006","2018","AC","AC","3133","06","SEBASTIAO ALVES RODRIGUES MANCHINERY ","SUPLENTE","31","PARTIDO HUMANISTA DA SOLIDARIEDADE","PHS","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,801,0,3207,72127,77945,7,2,14080,0,14080,-1605,1.03,0,2
"8","1462953","2018","AC","AC","2722","06","ANDRESA DA SILVA CASTRO BARROS","SUPLENTE","27","DEMOCRACIA CRISTÃ","DC","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,355,0,679,72127,77945,8,1,14526,0,14526,-446,0.46,0,2
"9","1178173","2018","AC","AC","1377","06","RAQUEL GLEYCIANE SANTOS DE SOUZA","SUPLENTE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,353,0,39098,72127,77945,9,4,14528,0,14528,-2,0.45,1,2
"10","1463012","2018","AC","AC","2727","06","FRANCISCO OLIVEIRA DA SILVA RIBEIRO ","SUPLENTE","27","DEMOCRACIA CRISTÃ","DC","COLIGAÇÃO","PT / PSB / PHS / PC DO B / DC","100000502200","FRENTE POPULAR DO ACRE I","PT / PSB / PHS / PC DO B / DC","FRENTE POPULAR DO ACRE I",1,"067",5,5818,253,0,679,72127,77945,10,2,14628,0,14628,-100,0.32,0,2
