"","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","UF","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DESC_SIT_TOT_TURNO","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","IDENTIFICADOR_LEGENDA","COLIGACAO","ID_LEGENDA","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_ABSOLUTA_PARA_ULTIMO_ELEITO_EM_VOTOS","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM","SHARE_CANDIDATO_LISTA","N_CADEIRAS_GANHAS_PARTIDO","N_CADEIRAS_GANHAS_COLIGACAO"
"1","0870590","2014","AC","AC","4545","06","WHERLES FERNANDES DA ROCHA","ELEITO POR QP","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,23466,0,33239,151845,163800,1,1,-5094,0,5094,NA,14.33,1,3
"2","1166784","2014","AC","AC","1515","06","JÉSSICA ROJAS SALES","ELEITO POR QP","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,20339,0,38711,151845,163800,2,1,-1967,0,1967,-3127,12.42,2,3
"3","0000729","2014","AC","AC","1555","06","FLAVIANO FLÁVIO BAPTISTA DE MELO","ELEITO POR QP","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,18372,0,38711,151845,163800,3,2,0,1,0,-1967,11.22,2,3
"4","1166990","2014","AC","AC","5533","06","MARFIZA DE LIMA GALVÃO","SUPLENTE","55","PARTIDO SOCIAL DEMOCRÁTICO","PSD","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,17300,0,18706,151845,163800,4,1,1072,0,1072,-1072,10.56,0,3
"5","1166869","2014","AC","AC","1144","06","VANDA DENIR MILANI NOGUEIRA","SUPLENTE","11","PARTIDO PROGRESSISTA","PP","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,13610,0,25929,151845,163800,5,1,4762,0,4762,-3690,8.31,0,3
"6","0400360","2014","AC","AC","2222","06","ILDERLEI SOUZA RODRIGUES CORDEIRO","SUPLENTE","22","PARTIDO DA REPÚBLICA","PR","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,13431,0,13431,151845,163800,6,1,4941,0,4941,-179,8.2,0,3
"7","0391645","2014","AC","AC","2020","06","ANTÔNIA LUCILEIA CRUZ RAMOS CÂMARA","SUPLENTE","20","PARTIDO SOCIAL CRISTÃO","PSC","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,12126,0,12126,151845,163800,7,1,6246,0,6246,-1305,7.4,0,3
"8","1166905","2014","AC","AC","1122","06","OSVALDO ALVES RIBEIRO NETO","SUPLENTE","11","PARTIDO PROGRESSISTA","PP","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,6707,0,25929,151845,163800,8,2,11665,0,11665,-5419,4.09,0,3
"9","0400550","2014","AC","AC","7777","06","LUIZ ANUTE DOS SANTOS","SUPLENTE","77","SOLIDARIEDADE","SD","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,4717,0,4717,151845,163800,9,1,13655,0,13655,-1990,2.88,0,3
"10","1166997","2014","AC","AC","4567","06","EDSON BRAGA RODRIGUES","SUPLENTE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","100000000360","ALIANÇA POR UM ACRE MELHOR I - FEDERAL","PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT DO B / SD","ALIANÇA POR UM ACRE MELHOR I - FEDERAL",1,"013",10,11955,4518,0,33239,151845,163800,10,2,13854,0,13854,-199,2.76,1,3
