"","UF","ID_LEGENDA","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DES_SITUACAO_CANDIDATURA","COD_SIT_TOT_TURNO","DESC_SIT_TOT_TURNO","COD_SITUACAO_CANDIDATO_TOT","DES_SITUACAO_CANDIDATO_TOT","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","CODIGO_LEGENDA","SIGLA_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","QTDE_VOTOS","QTDE_VOTO_NOMINAL","QTDE_VOTO_LEGENDA","IDENTIFICADOR_LEGENDA","COLIGACAO","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_LISTA","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_PARTIDO","SHARE_CANDIDATO_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_PARTIDO","QUEBRA_MAXIMA_LISTA","QUEBRA_MAXIMA_PARTIDO","N_COMPETIDORES_LISTA","N_COMPETIDORES_PARTIDO","N_TOTAL_COMPETIDORES_DISTRITO"
"1","AC","009","0654192","2006","AC","4343","06","GESSE MATTOS SILVEIRA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","43","PARTIDO VERDE","PV","COLIGAÇÃO","1061","#NE","PTN / PV / PRP / PT DO B","104000000000","ALIANÇA PARTIDARIA ACREANA","PRP / PT DO B / PTN / PV","2","2","0","ALIANÇA PARTIDARIA ACREANA",1,4,1651,202,0,202,202,1853,1,1,0,1,NA,NA,10.9,NA,NA,NA,NA,1,1,51
"2","AC","042","0000729","2006","AC","1555","06","FLAVIANO FLÁVIO BAPTISTA DE MELO","DEFERIDO","1","ELEITO","#NE","#NE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","23","23","0","FRENTE CIDADÃ",1,3,8716,16951,0,27328,72919,81635,1,1,-16816,0,NA,NA,20.76,NA,NA,NA,NA,16,6,51
"3","AC","042","0400360","2006","AC","2323","06","ILDERLEI SOUZA RODRIGUES CORDEIRO","DEFERIDO","1","ELEITO","#NE","#NE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","5","5","0","FRENTE CIDADÃ",1,3,8716,16442,0,30421,72919,81635,2,1,-16307,0,-509,-509,20.14,509,509,0,0,16,8,51
"4","AC","042","0000549","2006","AC","1234","06","NARCISO MENDES DE ASSIS","DEFERIDO","5","SUPLENTE","#NE","#NE","12","PARTIDO DEMOCRÁTICO TRABALHISTA","PDT","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","21","21","0","FRENTE CIDADÃ",1,3,8716,14956,0,15170,72919,81635,3,1,-14821,0,-1486,-1486,18.32,1486,1486,0,0,16,2,51
"5","AC","042","0000498","2006","AC","1515","06","JOÃO CORREIA LIMA SOBRINHO","DEFERIDO","5","SUPLENTE","#NE","#NE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","8","8","0","FRENTE CIDADÃ",1,3,8716,6916,0,27328,72919,81635,4,2,-6781,0,-8040,-8040,8.47,8040,8040,1,1,16,6,51
"6","AC","042","0000571","2006","AC","2355","06","NORMANDO RODRIGUES SALES","DEFERIDO","5","SUPLENTE","#NE","#NE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","1","1","0","FRENTE CIDADÃ",1,3,8716,4608,0,30421,72919,81635,5,2,-4473,0,-2308,-2308,5.64,2308,2308,0,0,16,8,51
"7","AC","042","0654287","2006","AC","1212","06","CLÁUDIO GASTÃO KIPPER","DEFERIDO","5","SUPLENTE","#NE","#NE","12","PARTIDO DEMOCRÁTICO TRABALHISTA","PDT","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","2","2","0","FRENTE CIDADÃ",1,3,8716,214,0,15170,72919,81635,15,2,-79,0,-98,-4394,0.26,98,4394,0,1,16,2,51
"8","AC","042","0016095","2006","AC","2322","06","BLANDINA MARIA DA SILVA E SILVA","DEFERIDO","5","SUPLENTE","#NE","#NE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","2","2","0","FRENTE CIDADÃ",1,3,8716,4298,0,30421,72919,81635,6,3,-4163,0,-310,4084,5.26,310,4084,0,1,16,8,51
"9","AC","042","0400796","2006","AC","1512","06","GILDOMAR OLIVEIRA GOMES","DEFERIDO","5","SUPLENTE","#NE","#NE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","1","1","0","FRENTE CIDADÃ",1,3,8716,1562,0,27328,72919,81635,8,3,-1427,0,-773,-2736,1.91,773,2736,0,0,16,6,51
"10","AC","042","0391621","2006","AC","2340","06","DEODATO NUNES DE FRANÇA","DEFERIDO","5","SUPLENTE","#NE","#NE","23","PARTIDO POPULAR SOCIALISTA","PPS","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","1","1","0","FRENTE CIDADÃ",1,3,8716,2335,0,30421,72919,81635,7,4,-2200,0,-1963,773,2.86,1963,773,0,0,16,8,51
"11","AC","042","0654188","2006","AC","1511","06","LUCILA BRUNETTA","DEFERIDO","5","SUPLENTE","#NE","#NE","15","PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO","PMDB","COLIGAÇÃO","1035","#NE","PDT / PMDB / PPS","102400000000","FRENTE CIDADÃ","PDT / PMDB / PPS","1","1","0","FRENTE CIDADÃ",1,3,8716,1172,0,27328,72919,81635,9,4,-1037,0,-390,-1163,1.44,390,1163,0,0,16,6,51
