"","UF","ID_LEGENDA","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DES_SITUACAO_CANDIDATURA","COD_SIT_TOT_TURNO","DESC_SIT_TOT_TURNO","COD_SITUACAO_CANDIDATO_TOT","DES_SITUACAO_CANDIDATO_TOT","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","CODIGO_LEGENDA","SIGLA_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","QTDE_VOTOS","QTDE_VOTO_NOMINAL","QTDE_VOTO_LEGENDA","IDENTIFICADOR_LEGENDA","COLIGACAO","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_LISTA","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_PARTIDO","SHARE_CANDIDATO_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_PARTIDO","QUEBRA_MAXIMA_LISTA","QUEBRA_MAXIMA_PARTIDO","N_COMPETIDORES_LISTA","N_COMPETIDORES_PARTIDO","N_TOTAL_COMPETIDORES_DISTRITO"
"1","AC","024","0015578","2010","AC","6513","06","MARIA PERPETUA DE ALMEIDA","DEFERIDO","1","ELEITO","#NE","#NE","65","PARTIDO COMUNISTA DO BRASIL","PC DO B","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","11","11","0","FPA II",1,14,18333,33235,0,33235,177914,196247,1,1,15303,0,NA,NA,16.94,NA,NA,NA,NA,19,1,37
"2","AC","024","0654288","2010","AC","1122","06","GLADSON DE LIMA CAMELI","DEFERIDO","1","ELEITO","#NE","#NE","11","PARTIDO PROGRESSISTA","PP","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","12","12","0","FPA II",1,14,18333,32623,0,32623,177914,196247,2,1,14691,0,-612,-612,16.62,612,612,0,1,19,1,37
"3","AC","024","0000581","2010","AC","1313","06","SEBASTIAO SIBA MACHADO OLIVEIRA","DEFERIDO","1","ELEITO","#NE","#NE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","23","23","0","FPA II",1,14,18333,25158,0,74571,177914,196247,3,1,7226,0,-7465,-7465,12.82,7465,7465,1,0,19,6,37
"4","AC","024","0391689","2010","AC","4325","06","HENRIQUE AFONSO SOARES LIMA","DEFERIDO","1","ELEITO","#NE","#NE","43","PARTIDO VERDE","PV","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","3","3","0","FPA II",1,14,18333,20306,0,22453,177914,196247,4,1,2374,0,-4852,-4852,10.35,4852,4852,0,0,19,2,37
"5","AC","024","0661769","2010","AC","4444","06","GEHLEN DINIZ ANDRADE","DEFERIDO","2","SUPLENTE","#NE","#NE","44","PARTIDO REPUBLICANO PROGRESSISTA","PRP","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","1","1","0","FPA II",1,14,18333,2944,0,4337,177914,196247,9,1,-14988,0,-3537,-17362,1.5,3537,17362,0,1,19,2,37
"6","AC","024","0870462","2010","AC","1010","06","VALDEMIR JANUARIO DE ALMEIDA","DEFERIDO","2","SUPLENTE","#NE","#NE","10","PARTIDO REPUBLICANO BRASILEIRO","PRB","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","1","1","0","FPA II",1,14,18333,2530,0,2530,177914,196247,10,1,-15402,0,-414,-414,1.29,414,414,0,1,19,1,37
"7","AC","024","0400388","2010","AC","1212","06","JAIRO CASSIANO BARBOSA","DEFERIDO","2","SUPLENTE","#NE","#NE","12","PARTIDO DEMOCRÁTICO TRABALHISTA","PDT","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","1","1","0","FPA II",1,14,18333,2405,0,2405,177914,196247,11,1,-15527,0,-125,-125,1.23,125,125,0,1,19,1,37
"8","AC","024","0000649","2010","AC","1400","06","MARIA ZILA FROTA BEZERRA DE OLIVEIRA","DEFERIDO","2","SUPLENTE","#NE","#NE","14","PARTIDO TRABALHISTA BRASILEIRO","PTB","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","1","1","0","FPA II",1,14,18333,2329,0,2329,177914,196247,12,1,-15603,0,-76,-76,1.19,76,76,0,1,19,1,37
"9","AC","024","0870525","2010","AC","2212","06","FRANCISCO RODSON DOS SANTOS SOUZA","DEFERIDO","2","SUPLENTE","#NE","#NE","22","PARTIDO DA REPÚBLICA","PR","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","1","1","0","FPA II",1,14,18333,2049,0,2198,177914,196247,14,1,-15883,0,-98,-280,1.04,98,280,0,0,19,2,37
"10","AC","024","0261186","2010","AC","2727","06","GILSON GOMES DE OLIVEIRA","DEFERIDO","2","SUPLENTE","#NE","#NE","27","PARTIDO SOCIAL DEMOCRATA CRISTÃO","PSDC","COLIGAÇÃO","10000000011","#NE","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","100000000110","FPA II","PC DO B / PDT / PHS / PP / PR / PRB / PRP / PSB / PSDC / PT / PTB / PTC / PTN / PV","1","1","0","FPA II",1,14,18333,707,0,707,177914,196247,16,1,-17225,0,-686,-1342,0.36,686,1342,0,1,19,1,37
