"","UF","ID_LEGENDA","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DES_SITUACAO_CANDIDATURA","COD_SIT_TOT_TURNO","DESC_SIT_TOT_TURNO","COD_SITUACAO_CANDIDATO_TOT","DES_SITUACAO_CANDIDATO_TOT","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","CODIGO_LEGENDA","SIGLA_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","QTDE_VOTOS","QTDE_VOTO_NOMINAL","QTDE_VOTO_LEGENDA","IDENTIFICADOR_LEGENDA","COLIGACAO","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_LISTA","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_PARTIDO","SHARE_CANDIDATO_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_PARTIDO","QUEBRA_MAXIMA_LISTA","QUEBRA_MAXIMA_PARTIDO","N_COMPETIDORES_LISTA","N_COMPETIDORES_PARTIDO","N_TOTAL_COMPETIDORES_DISTRITO"
"1","AC","027","0662160","2018","AC","1010","06","MANUEL MARCOS CARVALHO DE MESQUITA","CASSADO","4","NÃO ELEITO","#NE","#NE","10","PARTIDO REPUBLICANO BRASILEIRO","PRB","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","2","2","0","CHAPINHA - FPA II",1,8,4176,7489,0,7489,38370,42546,1,1,-7484,0,NA,NA,17.6,NA,NA,NA,NA,16,1,83
"2","AC","027","1178146","2018","AC","1910","06","RAILSON CORREIA DA COSTA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","19","PODEMOS","PODE","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","1","1","0","CHAPINHA - FPA II",1,8,4176,5979,0,5984,38370,42546,2,1,-5974,0,-1510,-1510,14.05,1510,1510,1,1,16,2,83
"3","AC","027","0391689","2018","AC","4343","06","HENRIQUE AFONSO SOARES LIMA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","43","PARTIDO VERDE","PV","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","2","2","0","CHAPINHA - FPA II",1,8,4176,5272,0,5451,38370,42546,3,1,-5267,0,-707,-707,12.39,707,707,0,1,16,2,83
"4","AC","027","0016394","2018","AC","4444","06","FRANCISCO CARLOS OLIVEIRA DE LIMA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","44","PARTIDO REPUBLICANO PROGRESSISTA","PRP","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","40","40","0","CHAPINHA - FPA II",1,8,4176,4743,0,5117,38370,42546,4,1,-4738,0,-529,-529,11.15,529,529,0,0,16,3,83
"5","AC","027","1463074","2018","AC","3535","06","SILVIA MONTEIRO E SILVA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","35","PARTIDO DA MULHER BRASILEIRA","PMB","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","4","4","0","CHAPINHA - FPA II",1,8,4176,4580,0,4580,38370,42546,5,1,-4575,0,-163,-163,10.76,163,163,0,1,16,1,83
"6","AC","027","0391513","2018","AC","9090","06","FERNANDO MELO DA COSTA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","90","PARTIDO REPUBLICANO DA ORDEM SOCIAL","PROS","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","2","2","0","CHAPINHA - FPA II",1,8,4176,3214,0,3428,38370,42546,6,1,-3209,0,-1366,-1366,7.55,1366,1366,0,1,16,2,83
"7","AC","027","1463170","2018","AC","5050","06","FRANCISCO DA SILVA PIYÃKO","DEFERIDO","4","NÃO ELEITO","#NE","#NE","50","PARTIDO SOCIALISMO E LIBERDADE","PSOL","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","1","1","0","CHAPINHA - FPA II",1,8,4176,2681,0,5029,38370,42546,7,1,-2676,0,-533,-533,6.3,533,533,0,1,16,4,83
"8","AC","027","0000459","2018","AC","5454","06","FRANCISCO BRIGIDO DA COSTA","DEFERIDO","4","NÃO ELEITO","#NE","#NE","54","PARTIDO PÁTRIA LIVRE","PPL","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","1","1","0","CHAPINHA - FPA II",1,8,4176,1292,0,1292,38370,42546,9,1,-1287,0,-206,-1389,3.04,206,1389,0,1,16,1,83
"9","AC","027","0391622","2018","AC","5013","06","HAMMERLY DA SILVA ALBUQUERQUE","DEFERIDO","4","NÃO ELEITO","#NE","#NE","50","PARTIDO SOCIALISMO E LIBERDADE","PSOL","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","13","13","0","CHAPINHA - FPA II",1,8,4176,1498,0,5029,38370,42546,8,2,-1493,0,-1183,206,3.52,1183,206,0,0,16,4,83
"10","AC","027","0400393","2018","AC","4423","06","ROSE-LANE ALVES JARDIM","DEFERIDO","4","NÃO ELEITO","#NE","#NE","44","PARTIDO REPUBLICANO PROGRESSISTA","PRP","COLIGAÇÃO","10000050031","#NE","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","100000500310","CHAPINHA - FPA II","PSOL / PV / PPL / PRP / PRB / PODE / PROS / PMB","1","1","0","CHAPINHA - FPA II",1,8,4176,222,0,5117,38370,42546,12,2,-217,0,-136,-1276,0.52,136,1276,0,1,16,3,83
