"","UF","ID_LEGENDA","ID_CEPESP","ANO_ELEICAO","SIGLA_UE","NUMERO_CANDIDATO","CODIGO_CARGO","NOME_CANDIDATO","DES_SITUACAO_CANDIDATURA","COD_SIT_TOT_TURNO","DESC_SIT_TOT_TURNO","COD_SITUACAO_CANDIDATO_TOT","DES_SITUACAO_CANDIDATO_TOT","NUMERO_PARTIDO","NOME_PARTIDO","SIGLA_PARTIDO","TIPO_LEGENDA","CODIGO_LEGENDA","SIGLA_LEGENDA","COMPOSICAO_LEGENDA","SEQUENCIA_COLIGACAO","NOME_COLIGACAO","COMPOSICAO_COLIGACAO","QTDE_VOTOS","QTDE_VOTO_NOMINAL","QTDE_VOTO_LEGENDA","IDENTIFICADOR_LEGENDA","COLIGACAO","NUM_PARTIDOS_COLIGACAO","TOTAL_VOTOS_LEGENDA","TOTAL_VOTOS_NOMINAIS","TOTAL_VOTOS_LEGENDA_PARTIDO_ISOLADO","TOTAL_VOTOS_PARTIDO","TOTAL_NOMINAIS_LEGENDA","TOTAL_VOTOS_LISTA","RANK_LISTA","RANK_PARTIDO","DISTANCIA_PARA_ULTIMO_ELEITO_EM_VOTOS","ULTIMO_ELEITO","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_LISTA","DISTANCIA_EM_VOTOS_PARA_N_MENOS_UM_PARTIDO","SHARE_CANDIDATO_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_LISTA","DISTANCIA_ABSOLUTA_PARA_N_MENOS_UM_PARTIDO","QUEBRA_MAXIMA_LISTA","QUEBRA_MAXIMA_PARTIDO","N_COMPETIDORES_LISTA","N_COMPETIDORES_PARTIDO","N_TOTAL_COMPETIDORES_DISTRITO"
"1","AC","065","0000565","1998","AC","1313","06","MARCOS AFONSO PONTES DE SOUZA","DEFERIDO","1","ELEITO","#NE","#NE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,21556,0,39090,59112,76349,1,1,-21540,0,NA,NA,28.23,NA,NA,NA,NA,18,5,52
"2","AC","065","0000629","1998","AC","1234","06","SÉRGIO SEBASTIÃO DE BARROS","DEFERIDO","1","ELEITO","#NE","#NE","12","PARTIDO DEMOCRÁTICO TRABALHISTA","PDT","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","17","17","0","FRENTE POPULAR DO ACRE",1,9,17237,7969,0,7969,59112,76349,2,1,-7953,0,-13587,-13587,10.44,13587,13587,1,1,18,1,52
"3","AC","065","0000571","1998","AC","4545","06","NORMANDO RODRIGUES SALES","DEFERIDO","2","SUPLENTE","#NE","#NE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","23","23","0","FRENTE POPULAR DO ACRE",1,9,17237,5968,0,9348,59112,76349,4,1,-5952,0,-1663,-2001,7.82,1663,2001,0,0,18,7,52
"4","AC","065","0000503","1998","AC","6565","06","MÁRCIO JOSÉ BATISTA","DEFERIDO","2","SUPLENTE","#NE","#NE","65","PARTIDO COMUNISTA DO BRASIL","PC DO B","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,1477,0,1477,59112,76349,8,1,-1461,0,-539,-4491,1.93,539,4491,0,1,18,1,52
"5","AC","065","0000597","1998","AC","4040","06","JAIRON ALCIR SANTOS DO NASCIMENTO","DEFERIDO","2","SUPLENTE","#NE","#NE","40","PARTIDO SOCIALISTA BRASILEIRO","PSB","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","5","5","0","FRENTE POPULAR DO ACRE",1,9,17237,567,0,567,59112,76349,9,1,-551,0,-910,-910,0.74,910,910,0,1,18,1,52
"6","AC","065","0000631","1998","AC","2222","06","ELAINE ALAB RUIZ","DEFERIDO","2","SUPLENTE","#NE","#NE","22","PARTIDO LIBERAL","PL","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,349,0,349,59112,76349,11,1,-333,0,-121,-218,0.46,121,218,0,1,18,1,52
"7","AC","065","0000624","1998","AC","7068","06","FRANCISCO ALVES DO NASCIMENTO FILHO","DEFERIDO","2","SUPLENTE","#NE","#NE","70","PARTIDO TRABALHISTA DO BRASIL","PT DO B","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,219,0,219,59112,76349,14,1,-203,0,-10,-130,0.29,10,130,0,1,18,1,52
"8","AC","065","0000455","1998","AC","3344","06","CLEBER PERES DE ALBUQUERQUE","DEFERIDO","2","SUPLENTE","#NE","#NE","33","PARTIDO DA MOBILIZAÇÃO NACIONAL","PMN","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,93,0,93,59112,76349,17,1,-77,0,-89,-126,0.12,89,126,0,1,18,1,52
"9","AC","065","0000695","1998","AC","1311","06","NILSON MOURA LEITE MOURAO","DEFERIDO","5","MÉDIA","#NE","#NE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,7631,0,39090,59112,76349,3,2,-7615,0,-338,7538,9.99,338,7538,0,1,18,5,52
"10","AC","065","0000529","1998","AC","4555","06","NILSON DIAS BARBOSA","DEFERIDO","2","SUPLENTE","#NE","#NE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","3","3","0","FRENTE POPULAR DO ACRE",1,9,17237,2016,0,9348,59112,76349,7,2,-2000,0,-2181,-5615,2.64,2181,5615,0,1,18,7,52
"11","AC","065","0000702","1998","AC","1300","06","JOAO ANTONIO RODRIGUES BRONZEADO","DEFERIDO","2","SUPLENTE","#NE","#NE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,5690,0,39090,59112,76349,5,3,-5674,0,-278,3674,7.45,278,3674,0,0,18,5,52
"12","AC","065","0000636","1998","AC","4567","06","JOSÉ BATISTA DE MACEDO","DEFERIDO","2","SUPLENTE","#NE","#NE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,470,0,9348,59112,76349,10,3,-454,0,-97,-5220,0.62,97,5220,0,0,18,7,52
"13","AC","065","0000657","1998","AC","1312","06","TÁCIO DE BRITO","DEFERIDO","2","SUPLENTE","#NE","#NE","13","PARTIDO DOS TRABALHADORES","PT","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,4197,0,39090,59112,76349,6,4,-4181,0,-1493,3727,5.5,1493,3727,0,0,18,5,52
"14","AC","065","0000566","1998","AC","4554","06","MANOEL FRANCISCO LOPES DE MIRANDA","DEFERIDO","2","SUPLENTE","#NE","#NE","45","PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA","PSDB","COLIGAÇÃO","-3","#NE","PC DO B / PDT / PL / PMN / PPS / PSB / PSDB / PT / PT DO B","-30000000000","FRENTE POPULAR DO ACRE","PDT / PT / PTB / PSL / PL / PPS / PMN / PSB / PV / PSDB / PC DO B / PT DO B","1","1","0","FRENTE POPULAR DO ACRE",1,9,17237,266,0,9348,59112,76349,12,4,-250,0,-83,-3931,0.35,83,3931,0,0,18,7,52
